address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Hyacintgatan 5,1295000,21200,2,9,61,2025-06-18,,Lägenhet,4541,1973,1295000,7
Möllevångstorget 5A,2395000,45200,2,3,53,2025-06-18,,Lägenhet,4409,1905,2395000,7
Fågelbacksgatan 6A,3825000,43500,3,2,88,2025-06-18,,Lägenhet,5692,1993,3995000,7
Pildammsvägen 12,2575000,39300,2,3,65,2025-06-18,,Lägenhet,4893,1948,2595000,7
Fågelbacksgatan 14A,2050000,37600,2,1,54,2025-06-18,,Lägenhet,4323,1950,2195000,7
Dockgatan 17,2200000,50000,1,3,44,2025-06-18,,Lägenhet,3011,2013,2295000,8
Sallerupsvägen 8,3295000,32600,4,4,101,2025-06-18,,Lägenhet,6696,1926,3295000,8
Skrivaregatan 36,2050000,40200,2,5,51,2025-06-18,,Lägenhet,4474,2023,2095000,8
Berguvsgatan 4A,1715000,21800,3,3,78,2025-06-18,,Lägenhet,4695,1962,1795000,8
Amiralsgatan 6,2650000,53000,2,1,50,2025-06-18,,Lägenhet,3479,1898,2695000,8
Torekovsgatan 22D,970000,24900,1,,39,2025-06-18,,Lägenhet,3149,1940,995000,8
Salongsgatan 20L,4195000,69900,3,4,60,2025-06-17,,Lägenhet,5394,2001,4195000,8
Sergels väg 2,4170000,50900,3,2,82,2025-06-17,,Lägenhet,4676,1943,3795000,8
Ormvråksgatan 14,2110000,20300,4,1,104,2025-06-17,,Lägenhet,6327,,2195000,8
Scheelegatan 2B,985000,16100,2,4,61,2025-06-17,,Lägenhet,4038,1960,1000000,8
Axel Danielssons väg 87,1400000,17500,3,1,80,2025-06-17,,Lägenhet,5194,1973,1395000,8
Blåsebergavägen 39,3180000,41600,3,2,76,2025-06-17,,Lägenhet,5632,2023,3250000,8
Krankajen 36,2850000,52800,2,5,54,2025-06-17,,Lägenhet,3254,2007,2995000,8
Värnhemsgatan 13,1150000,26100,1,2,44,2025-06-17,,Lägenhet,4153,1936,1195000,8
Köpenhamnsvägen 9D,1430000,44700,1,2,32,2025-06-17,,Lägenhet,3263,1954,1495000,8
Kronborgsvägen 13A,1975000,34600,2,3,57,2025-06-17,,Lägenhet,5100,1949,1975000,8
Axel Danielssons väg 69,1500000,18800,3,1,80,2025-06-17,,Lägenhet,5194,1973,1495000,8
Balladgatan 33,1195000,18500,2,3,64,2025-06-17,,Lägenhet,4120,1971,1195000,8
